,PLAYER_NAME,PLAYER_ID,TEAM_NAME,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,METRIC
59,James Harden,201935,Houston Rockets,HOU,2014-03-20T00:00:00,HOU vs. MIN,2.9611651376146786
60,James Harden,201935,Houston Rockets,HOU,2014-03-22T00:00:00,HOU @ CLE,3.786085972850679
61,James Harden,201935,Houston Rockets,HOU,2014-03-24T00:00:00,HOU @ CHA,2.605371964209629
62,James Harden,201935,Houston Rockets,HOU,2014-03-27T00:00:00,HOU vs. PHI,2.975750661725781
63,James Harden,201935,Houston Rockets,HOU,2014-03-29T00:00:00,HOU vs. LAC,2.2506013649136896
64,James Harden,201935,Houston Rockets,HOU,2014-04-01T00:00:00,HOU @ BKN,2.3424182825484765
65,James Harden,201935,Houston Rockets,HOU,2014-04-02T00:00:00,HOU @ TOR,2.2343722808936763
66,James Harden,201935,Houston Rockets,HOU,2014-04-04T00:00:00,HOU vs. OKC,2.5955608055770725
67,James Harden,201935,Houston Rockets,HOU,2014-04-06T00:00:00,HOU vs. DEN,2.464151176243733
68,James Harden,201935,Houston Rockets,HOU,2014-04-08T00:00:00,HOU @ LAL,3.2722224554039876
69,James Harden,201935,Houston Rockets,HOU,2014-04-09T00:00:00,HOU @ DEN,1.6931474773609316
70,James Harden,201935,Houston Rockets,HOU,2014-04-11T00:00:00,HOU @ MIN,2.934070422535212
71,James Harden,201935,Houston Rockets,HOU,2014-04-12T00:00:00,HOU vs. NOP,2.7291699969259144
72,James Harden,201935,Houston Rockets,HOU,2014-04-14T00:00:00,HOU vs. SAS,1.7047607768829938
73,James Harden,201935,Houston Rockets,HOU,2014-10-28T00:00:00,HOU @ LAL,2.857583965330444
74,James Harden,201935,Houston Rockets,HOU,2014-10-29T00:00:00,HOU @ UTA,1.8897887385421215
75,James Harden,201935,Houston Rockets,HOU,2014-11-01T00:00:00,HOU vs. BOS,2.7510932475884244
76,James Harden,201935,Houston Rockets,HOU,2014-11-03T00:00:00,HOU @ PHI,2.801586387434555
77,James Harden,201935,Houston Rockets,HOU,2014-11-04T00:00:00,HOU @ MIA,2.7576941807676443
78,James Harden,201935,Houston Rockets,HOU,2014-11-06T00:00:00,HOU vs. SAS,1.92194523326572
79,James Harden,201935,Houston Rockets,HOU,2014-11-08T00:00:00,HOU vs. GSW,1.855710469757446
80,James Harden,201935,Houston Rockets,HOU,2014-11-12T00:00:00,HOU @ MIN,2.3778742138364777
81,James Harden,201935,Houston Rockets,HOU,2014-11-14T00:00:00,HOU vs. PHI,2.3022799148796858
82,James Harden,201935,Houston Rockets,HOU,2014-11-16T00:00:00,HOU @ OKC,1.9821330049261079
83,James Harden,201935,Houston Rockets,HOU,2014-11-17T00:00:00,HOU @ MEM,1.0741053677932408
84,James Harden,201935,Houston Rockets,HOU,2014-11-19T00:00:00,HOU vs. LAL,2.6600291777188323
85,James Harden,201935,Houston Rockets,HOU,2014-11-22T00:00:00,HOU vs. DAL,2.646579514824798
86,James Harden,201935,Houston Rockets,HOU,2014-11-24T00:00:00,HOU vs. NYK,3.0193137916490933
87,James Harden,201935,Houston Rockets,HOU,2014-11-26T00:00:00,HOU vs. SAC,2.1998081338435522
88,James Harden,201935,Houston Rockets,HOU,2014-11-28T00:00:00,HOU vs. LAC,1.9189815059445174
89,James Harden,201935,Houston Rockets,HOU,2014-11-29T00:00:00,HOU @ MIL,3.2805943120944208
90,James Harden,201935,Houston Rockets,HOU,2014-12-03T00:00:00,HOU vs. MEM,2.604780023781213
91,James Harden,201935,Houston Rockets,HOU,2014-12-05T00:00:00,HOU @ MIN,2.8319467954265938
92,James Harden,201935,Houston Rockets,HOU,2014-12-06T00:00:00,HOU vs. PHX,1.8890791119050658
93,James Harden,201935,Houston Rockets,HOU,2014-12-10T00:00:00,HOU @ GSW,2.5787368421052634
94,James Harden,201935,Houston Rockets,HOU,2014-12-11T00:00:00,HOU @ SAC,2.585358074048323
95,James Harden,201935,Houston Rockets,HOU,2014-12-13T00:00:00,HOU vs. DEN,2.534129442738043
96,James Harden,201935,Houston Rockets,HOU,2014-12-17T00:00:00,HOU @ DEN,2.370011131725417
97,James Harden,201935,Houston Rockets,HOU,2014-12-18T00:00:00,HOU vs. NOP,1.821084148727984
98,James Harden,201935,Houston Rockets,HOU,2014-12-20T00:00:00,HOU vs. ATL,2.3391105912377714
99,James Harden,201935,Houston Rockets,HOU,2014-12-22T00:00:00,HOU vs. POR,3.4128534031413618
100,James Harden,201935,Houston Rockets,HOU,2014-12-26T00:00:00,HOU @ MEM,3.011901329037455
101,James Harden,201935,Houston Rockets,HOU,2014-12-28T00:00:00,HOU @ SAS,2.4178796102992353
102,James Harden,201935,Houston Rockets,HOU,2014-12-29T00:00:00,HOU vs. WAS,2.7362263797942
103,James Harden,201935,Houston Rockets,HOU,2014-12-31T00:00:00,HOU vs. CHA,3.7148981569828754
104,James Harden,201935,Houston Rockets,HOU,2015-01-02T00:00:00,HOU @ NOP,0.8703868400106128
105,James Harden,201935,Houston Rockets,HOU,2015-01-03T00:00:00,HOU vs. MIA,3.0219078014184397
106,James Harden,201935,Houston Rockets,HOU,2015-01-05T00:00:00,HOU @ CHI,2.241064375815572
107,James Harden,201935,Houston Rockets,HOU,2015-01-07T00:00:00,HOU @ CLE,2.4065208238679383
108,James Harden,201935,Houston Rockets,HOU,2015-01-08T00:00:00,HOU @ NYK,2.9434782608695653
109,James Harden,201935,Houston Rockets,HOU,2015-01-10T00:00:00,HOU vs. UTA,2.7383859990277095
110,James Harden,201935,Houston Rockets,HOU,2015-01-12T00:00:00,HOU @ BKN,3.404578063794068
111,James Harden,201935,Houston Rockets,HOU,2015-01-14T00:00:00,HOU @ ORL,2.500659644502962
112,James Harden,201935,Houston Rockets,HOU,2015-01-15T00:00:00,HOU vs. OKC,3.0914255129348795
113,James Harden,201935,Houston Rockets,HOU,2015-01-17T00:00:00,HOU vs. GSW,1.1705942350332592
114,James Harden,201935,Houston Rockets,HOU,2015-01-19T00:00:00,HOU vs. IND,3.3349198664440736
115,James Harden,201935,Houston Rockets,HOU,2015-01-21T00:00:00,HOU @ GSW,2.883162754303599
116,James Harden,201935,Houston Rockets,HOU,2015-01-23T00:00:00,HOU @ PHX,2.69764824120603
117,James Harden,201935,Houston Rockets,HOU,2015-01-25T00:00:00,HOU @ LAL,3.0006865586814437
118,James Harden,201935,Houston Rockets,HOU,2015-01-28T00:00:00,HOU vs. DAL,2.084562242593331
119,James Harden,201935,Houston Rockets,HOU,2015-01-30T00:00:00,HOU @ BOS,1.6565496828752644
120,James Harden,201935,Houston Rockets,HOU,2015-01-31T00:00:00,HOU @ DET,2.8477806215722126
121,James Harden,201935,Houston Rockets,HOU,2015-02-04T00:00:00,HOU vs. CHI,2.8213498622589532
122,James Harden,201935,Houston Rockets,HOU,2015-02-06T00:00:00,HOU vs. MIL,2.520085335542668
123,James Harden,201935,Houston Rockets,HOU,2015-02-08T00:00:00,HOU vs. POR,2.8459163179916316
124,James Harden,201935,Houston Rockets,HOU,2015-02-10T00:00:00,HOU @ PHX,2.975779601406799
125,James Harden,201935,Houston Rockets,HOU,2015-02-11T00:00:00,HOU @ LAC,1.1280352177942536
126,James Harden,201935,Houston Rockets,HOU,2015-02-20T00:00:00,HOU @ DAL,2.464285714285714
127,James Harden,201935,Houston Rockets,HOU,2015-02-21T00:00:00,HOU vs. TOR,2.30063974978675
128,James Harden,201935,Houston Rockets,HOU,2015-02-23T00:00:00,HOU vs. MIN,2.691534730306558
129,James Harden,201935,Houston Rockets,HOU,2015-02-25T00:00:00,HOU vs. LAC,2.1593696426939597
130,James Harden,201935,Houston Rockets,HOU,2015-02-27T00:00:00,HOU vs. BKN,1.7626521739130434
